Agency,TRROUTE,Agency_TRROUTE,STATION_NAME,MODE_ID,Line,Route_ID,Stop_ID,TCNODE,WALK_ON,DRIVE_ON,MODE30_ON,MODE31_ON,MODE40_ON,MODE50_ON,MODE51_ON,MODE52_ON,MODE60_ON,MODE70_ON,MODE73_ON,MODE74_ON,MODE80_ON,MODE81_ON,MODE82_ON,Total_ON,WALK_OFF,DRIVE_OFF,MODE30_OFF,MODE31_OFF,MODE40_OFF,MODE50_OFF,MODE51_OFF,MODE52_OFF,MODE60_OFF,MODE70_OFF,MODE73_OFF,MODE74_OFF,MODE80_OFF,MODE81_OFF,MODE82_OFF,Total_OFF
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,1,78388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,2,78389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,3,78390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,DFWIA AB Terminal Station                         ,60,6002,1,4,58474,6.20897e-005,-4.90672e-005,0,0,0,0,0,3.38905,0,0,0,0,2465.56,1656.01,0,4124.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,5,78386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,6,78387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,7,78385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2258
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,8,58575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3932.61,0,0,0,145.122,0,0,0,0,0,0,0,0,0,0,4077.74
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002,1,9,78388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APM       ,DFW       ,APM_DFW             ,                                                  ,60,6002000,2,10,78388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
