ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
1 , EastFCFlyerEB , East First Coast Flyer eb,3,24,15,30,,,,BRT,,,
2 , EastFCFlyerWB , East First Coast Flyer wb,3,24,15,30,,,,BRT,,,
3 , BRTSSidelineSB , BRT Regency Square Mall - Avenues Mall sb,3,24,15,30,,,,BRT,,,
4 , BRTSSideLineWB , BRT Regency Square Mall Avenues Mall nb,3,24,15,30,,,,BRT,,,
5 , NorthFCFlyerSB , North First Coast Flyer sb,3,24,15,30,,,,BRT,,,
6 , NorthFCFlyerNB , Norht First Coast Flyer nb,3,24,15,30,,,,BRT,,,
7 , SoutheastFCFlyerSB , Southeast First Coast Flyer sb,3,24,15,30,,,,BRT,,,
8 , SoutheastFCFlyerNB , Southeast First Coast Flyer nb,3,24,15,30,,,,BRT,,,
9 , BRTAirportLineSB , BRT Downtown - Airport sb,3,24,15,30,,,,BRT,,,
10 , BRTAirportLineNB , BRT Downtown Airport nb,3,24,15,30,,,,BRT,,,
11 , BRTEdgewoodLineSB , BRT Downtown - Edgewood sb,3,24,15,30,,,,BRT,,,
12 , BRTEdgewoodLineNB , BRT Downtown Edgewood nb,3,24,15,30,,,,BRT,,,
13 , SouthwestFCFlyerSB , Southwest First Coast Flyer sb,3,24,15,30,,,,BRT,,,
14 , SouthwestFCFlyerNB , Wouthwest First Coast Flyer nb,3,24,15,30,,,,BRT,,,
15 , BRTNormandyLineSB , BRT Downtown Normandy sb,3,24,15,30,,,,BRT,,,
16 , BRTNormandyLineNB , BRT Downtown Normandy nb,3,24,15,30,,,,BRT,,,
17 , BRT103rdLineSB , BRT Blanding 103rd eb,3,24,15,30,,,,BRT,,,
18 , BRT103rdLineNB , BRT Blanding 103rd wb,3,24,15,30,,,,BRT,,,
19 , BRTSWClayCntyLineSB , BRT Kingsley Middleburg sb,3,24,15,30,,,,BRT,,,
20 , BRTSWClayCntyLineNB , BRT Kingsley Middleburg nb,3,24,15,30,,,,BRT,,,
21 , KeystoneHeightsSB , Keystone Heights sb,7,21,15,30,,,,LB,,,
22 , KeystoneHeightsNB , Keystone Heights nb,7,21,15,30,,,,LB,,,
23 , CommonwealthNB , Commonwealth NB,1,21,30,30,,,,LB,,,
24 , CommonwealthSB , Commonwealth SB,1,21,30,30,,,,LB,,,
25 , RandolphWB , Randolph wb,1,21,30,60,,,,LB,,,
26 , RandolphEB , Randolph eb,1,21,30,60,,,,LB,,,
27 , McDuffBeaverWB , McDuff Beaver wb,1,21,30,60,,,,LB,,,
28 , McDuffBeaverEB , McDuff Beaver eb,1,21,30,60,,,,LB,,,
29 , EdgewoodSB , Edgewood sb,1,21,90,60,,,,LB,,,
30 , EdgewoodNB , Edgewood nb,1,21,60,72,,,,LB,,,
31 , BoulevardNB , Boulevard nb,1,21,45,45,,,,LB,,,
32 , BoulevardSB , Boulevard sb,1,21,45,45,,,,LB,,,
33 , MoncriefNB , Moncrief nb,1,21,40,40,,,,LB,,,
34 , MoncriefSB , Moncrief sb,1,21,40,40,,,,LB,,,
35 , DinsmoreWB , Dinsmore wb,1,21,90,180,,,,LB,,,
36 , DinsmoreEB , Dinsmore eb,1,21,90,180,,,,LB,,,
37 , NorthMainStEB-NB , North Main Street eb-nb,1,21,60,60,,,,LB,,,
38 , NorthMainStSB-WB , North Main Street sb-wb,1,21,60,60,,,,LB,,,
39 , SoutelDunnNB , Soutel Dunn eb-nb,1,21,60,60,,,,LB,,,
40 , SoutelDunnWB , Soutel Dunn sb-wb,1,21,60,60,,,,LB,,,
41 , Wilson103rdNB , Wilson 103rd nb,1,21,60,60,,,,LB,,,
42 , Wilson103rdSB , Wilson 103rd sb,1,21,60,60,,,,LB,,,
43 , Park103rdNB , Park 103rd nb,1,21,30,60,,,,LB,,,
44 , Park103rdSB , Park 103rd sb,1,21,30,60,,,,LB,,,
45 , RiversideNightTrolleyNB , Riverside Night Trolley nb,1,21,30,60,,,,LB,,,
46 , RiversideNightTrolleySB , Riverside Night Trolley sb,1,21,30,60,,,,LB,,,
47 , MayportNB , Mayport nb,1,21,90,72,,,,LB,,,
48 , MayportSB , Mayport sb,1,21,90,72,,,,LB,,,
49 , MyrtleLemTurnerNB , Myrtle Lem Turner NB,1,21,30,30,,,,LB,,,
50 , MyrtleLemTurnerSB , Myrtle Lem Turner SB,1,21,30,30,,,,LB,,,
51 , SpringparkPhillipsNB , Springpark Phillips NB,1,21,30,30,,,,LB,,,
52 , SpringparkPhillipsSB , Springpark Phillips SB,1,21,30,30,,,,LB,,,
53 , GateParkwayNB , Gate Parkway nb,1,21,60,60,,,,LB,,,
54 , GateParkwaySB , Gate Parkway sb,1,21,60,60,,,,LB,,,
55 , BeachesWB , Beaches wb,1,21,65,65,,,,LB,,,
56 , BeachesEB , Beaches eb,1,21,65,65,,,,LB,,,
57 , SpringparkSanJoseEB , Springpark San Jose eb,1,21,70,70,,,,LB,,,
58 , SpringparkSanJoseWB , Springpark San Jose wb,1,21,70,70,,,,LB,,,
59 , MandarinExpNB , Mandarin Express nb,2,22,90,180,,,,EB,,,
60 , MandarinExpSB , Mandarin Express sb,2,22,90,180,,,,EB,,,
61 , StAugustineSanJoseSB , St Augustine San Jose sb,1,21,20,30,,,,LB,,,
62 , StAugustineSanJoseNB , St Augustine San Jose nb,1,21,20,30,,,,LB,,,
63 , ClayExpressNB , Clay Express nb,2,22,30,180,,,,EB,,,
64 , ClayExpressSB , Clay Express sb,2,22,30,180,,,,EB,,,
65 , BeachesTrolleysb , Beaches Trolley sb,6,23,30,30,,,,TROLLEY,,,
66 , BeachesTrolleynb , Beaches Trolley nb,6,23,30,30,,,,TROLLEY,,,
67 , SC1A-BrklynRsideSB , Brklyn Rside Streetcar sb,6,23,6,8,,,,Streetcar,,,
68 , SC1A-BrklynRsideNB , Brklyn Rside Streetcar nb,6,23,6,8,,,,Streetcar,,,
69 , SC1B-RsideAvonSB , Rside Avondale Streetcar sb,6,23,6,8,,,,Streetcar,,,
70 , SC1B-RsideAvonNB , Rside Avondale Streetcar nb,6,23,6,8,,,,Streetcar,,,
71 , SC2-SpringfieldSB , Springfield 8th St Streetcar sb,6,23,6,8,,,,Streetcar,,,
72 , SC2-SpringfieldNB , Springfield 8th St Streetcar nb,6,23,6,8,,,,Streetcar,,,
73 , SC4-SportsComSB , Sports Complex Streetcar sb,6,23,6,8,,,,Streetcar,,,
74 , SC4-SportsComNB , Sports Complex Streetcar nb,6,23,6,8,,,,Streetcar,,,
75 , ASE-1 , ASE FCCJ-TERMINAL,6,23,6,8,,,,SKYWAY,,,
76 , ASE-2 , ASE San Marco Station,6,23,6,8,,,,SKYWAY,,,
77 , ArlingtonEB , Arlington EB,1,21,35,36,,,,LB,,,
78 , ArlintonWB , Arlington WB,1,21,35,35,,,,LB,,,
79 , MayportExpEB , Mayport Express eb,2,22,90,180,,,,EB,,,
80 , MayportExpWB , Mayport Express wb,2,22,90,180,,,,EB,,,
81 , MonumentEB , Monument eb,1,21,40,40,,,,LB,,,
82 , MonumentWB , Monument wb,1,21,40,40,,,,LB,,,
83 , TownsendServiceeb , Townsend Service EB,1,21,60,72,,,,LB,,,
84 , TownsendServicewb , Townsend Service WB,1,21,90,90,,,,LB,,,
85 , AtlanticWB , Atlantic,1,21,30,30,,,,LB,,,
86 , AtlanticEB , Atlantic EB,1,21,30,30,,,,LB,,,
87 , OrangeParkButlerEB , Orange Park Butler Express eb,2,22,90,180,,,,EB,,,
88 , OrangeParkButlerWB , Orange Park Butler Express wb,2,22,90,180,,,,EB,,,
89 , UniversityBlvdNB , University Blvd eb nb,1,21,40,60,,,,LB,,,
90 , UniversityBlvdSB , University Blvd wb sb,1,21,40,60,,,,LB,,,
91 , BlandingCassetNB , Blanding Casset nb,1,21,60,60,,,,LB,,,
92 , BlandingCassetSB , Blanding Casset sb,1,21,60,60,,,,LB,,,
93 , OakleafExpNB , Oakleaf Express nb,1,21,60,60,,,,LB,,,
94 , OakleafExpSB , Oakleaf Express sb,1,21,60,60,,,,LB,,,
95 , EdisonNB , Edison nb,1,21,60,60,,,,LB,,,
96 , EdisonSB , Edison sb,1,21,60,60,,,,LB,,,
97 , CecilNB , Cecil nb,1,21,45,60,,,,LB,,,
98 , CecilSB , Cecil sb,1,21,45,60,,,,LB,,,
99 , NASShuttleSB , NAS Shuttle sb,1,21,90,360,,,,LB,,,
100 , NASShuttleNB , NAS Shuttle nb,1,21,60,360,,,,LB,,,
101 , TalleyrandNB , Talleyrand nb,1,21,60,60,,,,LB,,,
102 , TalleyrandSB , Talleyrand sb,1,21,60,60,,,,LB,,,
103 , KingsEB , Kings eb,1,21,35,35,,,,LB,,,
104 , KingsWB , Kings wb,1,21,35,35,,,,LB,,,
105 , BowdenHoganEB , Bowden Hogan eb,1,21,60,60,,,,LB,,,
106 , BowdenHoganWB , Bowden Hogan wb,1,21,60,60,,,,LB,,,
107 , NassauSB , Yulee Jax sb,1,21,30,30,,,,LB,,,
108 , NassauNB , Yulee Jax nb,1,21,30,30,,,,LB,,,
109 , BaldwinEB , Baldwin eb,1,21,90,180,,,,LB,,,
110 , BaldwinWB , Baldwin wb,1,21,90,360,,,,LB,,,
111 , SSBRedLineSB , Red Line Govern Cnt - Depot,7,21,90,120,,,,LB,,,
112 , SSBRedLineNB , Red Line Govern Cnt - Depot,7,21,90,180,,,,LB,,,
113 , SSBBlueLineSB , Blue Line Flagler Aud-Health Dept-Depot,7,21,90,120,,,,LB,,,
114 , SSBBlueLineNB , Blue Line Flagler Aud-Health Dept-Depot,7,21,90,180,,,,LB,,,
115 , SSB-PurpleLineSB , Avenues-Outlet Mall-KMart,7,21,90,180,,,,LB,,,
116 , SSB-PurpleLineNB , Avenues-Outlet Mall-KMart,7,21,90,180,,,,LB,,,
117 , SSBOrangeLineSB , Orange Line Flagler Aud-Health Dept-Depot,7,21,90,120,,,,LB,,,
118 , SSBOrangeLineNB , Orange Line Flagler Aud-Health Dept-Depot,7,21,90,180,,,,LB,,,
119 , SSBGreenLineSB , Green Line Moultrie-library-Depot,7,21,90,180,,,,LB,,,
120 , SSBGreenLineNB , Green Line Moultrie-library-Depot,7,21,90,120,,,,LB,,,
121 , SSBTealLineSB , Teal Line KMart-Elkton-Flagler Est,7,21,90,360,,,,LB,,,
122 , SSBTealLineNB , Teal Line KMart-Elkton-Flagler Est,7,21,90,360,,,,LB,,,
123 , SSBConnectorSB , Connector KMart-Flagler-Library,7,21,90,90,,,,LB,,,
124 , SSBConnectorNB , Connector KMart-Flagler-Library,7,21,60,90,,,,LB,,,
125 , RS-Palat_OPNB , Palatka-Orange Park nb,7,21,90,180,,,,LB,,,
126 , RS-Palat_OPSB , Palatka-Orange Park sb,7,21,90,180,,,,LB,,,
127 , ClayCntySt.John'sCntyNB , Clay Cnty St. John's Cnty nb,7,21,90,180,,,,LB,,,
128 , ClayCntySt.John'sCntySB , Clay Cnty St. John's Cnty sb,7,21,90,180,,,,LB,,,
129 , RS-PalCityWB , Palatka-City wb,7,21,90,60,,,,LB,,,
130 , RS-PalCityEB , Palatka-City eb,7,21,90,60,,,,LB,,,
131 , RS-Putnam_FeederSB , South Putnam Feeder sb,7,21,90,180,,,,LB,,,
132 , RS-Putnam_FeederNB , South Putnam Feeder nb,7,21,90,180,,,,LB,,,
133 , RS-Putnam_CrossEB , Putnam Cross County Express eb,7,21,90,180,,,,LB,,,
134 , RS-Putnam_CrossWB , Putnam Cross County Express wb,7,21,90,180,,,,LB,,,
135 , CRN-RailNB , RTC-Yulee,5,26,60,60,,,,CR,,,
136 , CRN-RailSB , Yulee-RTC_,5,26,60,60,,,,CR,,,
137 , CRSE-Rail_FlSB , RTC_US1-West King,5,26,60,60,,,,CR,,,
138 , CRSE-Rail_FLNB , US1-West King-RTC,5,26,60,60,,,,CR,,,
139 , CRSE-Rail_I95SB , RTC_I-95-SR 206,5,26,60,60,,,,CR,,,
140 , CRSE-Rail_I95NB , I-95-SR 206-RTC,5,26,60,60,,,,CR,,,
141 , CRSW-RailSB , RTC-Palatka,5,26,60,60,,,,CR,,,
142 , CRSW-RailNB , Palatka-RTC,5,26,60,60,,,,CR,,,
